plan_id,batch_id,system,alpha,epsilon,confidence,hard_constraints_passed,rule_penalty,reward_score,citations_count,status,created_at,mass_proxy,uniformity_penalty,score_total
batch_20250814_0341_plan_001,batch_20250814_0341,silicate,0.1332,0.7794,0.4163,True,2.81,0.6728,4,success,2025-08-14T03:41:31.238402,0.4156,0.0,2.3934
batch_20250814_0341_plan_002,batch_20250814_0341,silicate,0.1899,0.8309,0.557,True,3.12,0.8577,4,success,2025-08-14T03:41:31.269547,0.6957,0.0,2.6857
batch_20250814_0341_plan_003,batch_20250814_0341,silicate,0.1869,0.78,0.6872,True,1.51,0.6072,4,success,2025-08-14T03:41:31.288319,0.1808,0.0,2.1213
batch_20250814_0341_plan_004,batch_20250814_0341,silicate,0.2108,0.8656,0.7277,True,4.5,0.1533,3,success,2025-08-14T03:41:31.307963,0.2045,0.0,3.4043
batch_20250814_0341_plan_005,batch_20250814_0341,silicate,0.1369,0.802,0.7125,True,0.68,0.8356,3,success,2025-08-14T03:41:31.346244,0.5502,0.45,2.4137
batch_20250814_0341_plan_006,batch_20250814_0341,silicate,0.2257,0.7701,0.7713,True,3.62,0.1073,3,success,2025-08-14T03:41:31.367073,0.6503,0.7833,0.0807
batch_20250814_0341_plan_007,batch_20250814_0341,silicate,0.2107,0.8357,0.5465,False,3.81,0.5453,2,success,2025-08-14T03:41:31.391474,0.4177,0.0,2.707
batch_20250814_0341_plan_008,batch_20250814_0341,silicate,0.1755,0.7745,0.573,False,4.46,0.3288,3,success,2025-08-14T03:41:31.411415,0.4227,0.45,1.4253
batch_20250814_0341_plan_009,batch_20250814_0341,silicate,0.1857,0.863,0.4736,False,1.74,0.2779,1,success,2025-08-14T03:41:31.447013,0.5529,0.0,3.3545
batch_20250814_0341_plan_010,batch_20250814_0341,silicate,0.2167,0.8248,0.5318,True,2.62,0.3739,3,success,2025-08-14T03:41:31.467916,0.2486,0.0,2.5671
batch_20250814_0341_variant_001,batch_20250814_0341,silicate,0.2386,0.7757,0.6,True,0.5,0.7,1,success,2025-08-14T03:44:18.262041,0.1368,0.0,1.2462
batch_20250814_0341_variant_002,batch_20250814_0341,silicate,0.2388,0.7757,0.6,True,0.5,0.7,1,success,2025-08-14T03:44:18.284410,0.1368,0.0,1.2423
batch_20250814_0341_variant_003,batch_20250814_0341,silicate,0.2385,0.7752,0.6,True,0.5,0.7,1,success,2025-08-14T03:44:18.301794,0.1668,0.0,1.2049
batch_20250814_0341_variant_004,batch_20250814_0341,silicate,0.2387,0.7753,0.6,True,0.5,0.7,1,success,2025-08-14T03:44:18.317847,0.1668,0.0,1.2036
batch_20250814_0341_variant_005,batch_20250814_0341,silicate,0.2383,0.7757,0.6,True,0.5,0.7,1,success,2025-08-14T03:44:18.337387,0.1368,0.45,0.7974
batch_20250814_0341_variant_006,batch_20250814_0341,silicate,0.2388,0.7752,0.6,True,0.5,0.7,1,success,2025-08-14T03:44:18.354592,0.1668,0.45,0.7526
batch_20250814_0341_variant_007,batch_20250814_0341,silicate,0.2386,0.7754,0.6,True,0.5,0.7,1,success,2025-08-14T03:44:18.371293,0.2788,0.1833,0.9138
batch_20250814_0341_variant_008,batch_20250814_0341,silicate,0.2387,0.7754,0.6,True,0.5,0.7,1,success,2025-08-14T03:44:18.387927,0.2788,0.1833,0.912
batch_20250814_0341_variant_009,batch_20250814_0341,silicate,0.2388,0.7752,0.6,True,0.5,0.7,1,success,2025-08-14T03:44:18.406743,0.2244,0.6,0.5434
batch_20250814_0341_variant_010,batch_20250814_0341,silicate,0.2384,0.7747,0.6,True,0.5,0.7,1,success,2025-08-14T03:44:18.423743,0.237,0.6,0.5258
batch_20250814_0341_variant_011,batch_20250814_0341,silicate,0.2384,0.7751,0.6,True,0.5,0.7,1,success,2025-08-14T03:44:18.440861,0.2522,0.6,0.5193
batch_20250814_0341_variant_012,batch_20250814_0341,silicate,0.2385,0.7755,0.6,True,0.5,0.7,1,success,2025-08-14T03:44:18.458892,0.2788,0.7833,0.3161
batch_20250814_0341_variant_013,batch_20250814_0341,silicate,0.2387,0.7749,0.6,True,0.5,0.7,1,success,2025-08-14T03:44:18.477158,0.4977,0.25,0.6155
batch_20250814_0341_variant_014,batch_20250814_0341,silicate,0.2387,0.7749,0.6,True,0.5,0.7,1,success,2025-08-14T03:44:18.496643,0.5204,0.25,0.5931
batch_20250814_0341_variant_015,batch_20250814_0341,silicate,0.2385,0.7753,0.6,True,0.5,0.7,1,success,2025-08-14T03:44:18.513614,0.5182,0.45,0.4047
batch_20250814_0341_variant_016,batch_20250814_0341,silicate,0.238,0.7752,0.6,True,0.5,0.7,1,success,2025-08-14T03:44:18.530590,0.5455,0.45,0.3807
batch_20250814_0341_variant_017,batch_20250814_0341,silicate,0.2387,0.7751,0.6,True,0.5,0.7,1,success,2025-08-14T03:44:18.548336,0.5484,0.4187,0.402
batch_20250814_0341_variant_018,batch_20250814_0341,silicate,0.2384,0.7752,0.6,True,0.5,0.7,1,success,2025-08-14T03:44:18.566187,0.5786,0.45,0.3445
batch_20250814_0345_plan_001,batch_20250814_0345,zirconate,0.1332,0.7794,0.4163,True,2.81,0.6728,4,success,2025-08-14T03:45:01.463924,0.3067,0.0,2.5023
batch_20250814_0345_plan_002,batch_20250814_0345,zirconate,0.1899,0.8309,0.557,True,3.12,0.8577,4,success,2025-08-14T03:45:01.487745,0.7221,0.0,2.6592
